Cluster 0 of PKA,Cluster1 of PKA,Cluster 0 of Sieve,Cluster 1 of Sieve,Cluster 0 of Photon,Cluster 1 of Photon
,1919,,,2144,
,1472,,,2176,
,1344,,,2272,
,1375,,,2144,
,3264,,,2176,
,1344,,,2145,
,1888,,,2176,
,1952,,,2112,
,1376,,,2144,
,2528,,,2112,
,1408,,,2272,
,3103,,,2145,
,1344,,,2528,
,2080,,,2113,
,1344,,,2176,
,2560,,,2176,
,2144,,,2144,
,2144,,,2112,
,2112,,,2176,
,2144,,,2176,
,2112,,,2304,
,2176,,,2144,
,2144,,,2144,
,2272,,,2144,
,2111,,,2112,
,2144,,,2144,
,2144,,,2144,
,2144,,,2144,
,2144,,,2304,
,2176,,,2144,
,2112,,,2176,
,2304,,,2112,
,2144,,,2143,
,2144,,,2176,
,2176,,,2112,
,2144,,,2176,
,2144,,,2240,
,2112,,,2175,
,2112,,,2528,
,2272,,,2176,
,2145,,,2145,
,4256,,,2144,
,4640,,,2145,
,1920,,,2144,
,1440,,,2112,
,1344,,,2145,
,1344,,,2272,
,3264,,,2144,
,1376,,,2111,
,1889,,,2144,
,1952,,,2144,
,1312,,,2176,
,2528,,,2112,
,1440,,,2144,
,3104,,,2272,
,1344,,,2144,
,2080,,,2144,
,1312,,,2144,
,2528,,,2144,
,2111,,,2145,
,2144,,,2176,
,2144,,,2112,
,2177,,,2305,
,2176,,,2144,
,2176,,,2529,
,2176,,,2112,
,2304,,,2112,
,2112,,,2112,
,2176,,,2144,
,2144,,,2176,
,2176,,,2144,
,2144,,,2144,
,2112,,,2336,
,2176,,,2112,
,2272,,,2144,
,2144,,,2177,
,2113,,,2176,
,2144,,,2144,
,2144,,,2144,
,2144,,,2144,
,2112,,,2271,
,2144,,,2112,
,2272,,,2112,
,2144,,,2144,
,4192,,,2144,
,4767,,,2144,
,1920,,,2111,
,1408,,,2144,
,1376,,,2272,
,1376,,,2176,
,3201,,,2528,
,1408,,,2144,
,1856,,,2144,
,1952,,,2143,
,1375,,,2143,
,2495,,,2144,
,1408,,,2144,
,3072,,,2144,
,1343,,,2304,
,2048,,,2175,
,1312,,,2144,
,2528,,,2176,
,2176,,,2176,
,2143,,,2176,
,2144,,,2112,
,2144,,,2176,
,2113,,,2304,
,2176,,,2176,
,2144,,,2144,
,2304,,,2112,
,2144,,,2112,
,2144,,,2144,
,2176,,,2112,
,2144,,,2145,
,2175,,,2240,
,2144,,,2143,
,2144,,,2528,
,2273,,,2144,
,2144,,,2144,
,2112,,,2176,
,2143,,,2143,
,2176,,,2176,
,2111,,,2144,
,2112,,,2144,
,2144,,,2304,
,2271,,,2112,
,2144,,,2175,
,4289,,,2144,
,4640,,,2144,
,1889,,,2144,
,1439,,,2176,
,1344,,,2176,
,1345,,,2240,
,3296,,,2176,
,1344,,,2145,
,1888,,,2144,
,2048,,,2144,
,1312,,,2144,
,2560,,,2112,
,1440,,,2143,
,3104,,,2240,
,1312,,,2144,
,2080,,,2528,
,1312,,,2144,
,2496,,,2145,
,2144,,,2144,
,2176,,,2144,
,2175,,,2113,
,2144,,,2144,
,2144,,,2112,
,2175,,,2272,
,2112,,,2144,
,2304,,,2112,
,2176,,,2144,
,2144,,,2144,
,2175,,,2143,
,2176,,,2272,
,2144,,,2176,
,2144,,,2304,
,2112,,,2112,
,2336,,,2144,
,2144,,,2112,
,2144,,,2144,
,2176,,,2144,
,2144,,,2112,
,2112,,,2144,
,2113,,,2240,
,2112,,,2144,
,2272,,,2560,
,2144,,,2112,
,4192,,,2112,
,4704,,,2175,
,1984,,,2176,
,1440,,,2112,
,1344,,,2144,
,1344,,,2144,
,3232,,,2304,
,1376,,,2144,
,1887,,,2112,
,1984,,,2145,
,1344,,,2144,
,2432,,,2112,
,1408,,,2112,
,3073,,,2176,
,1312,,,2272,
,2080,,,2144,
,1345,,,2144,
,2528,,,2113,
,2111,,,2112,
,2144,,,2112,
,2144,,,2113,
,2144,,,2144,
,2112,,,2273,
,2144,,,2112,
,2145,,,2528,
,2304,,,2144,
,2176,,,2143,
,2112,,,2144,
,2112,,,2176,
,2177,,,2144,
,2176,,,2144,
,2112,,,2144,
,2177,,,2303,
,2272,,,2144,
,2112,,,2144,
,2144,,,2144,
,2144,,,2144,
,2112,,,2112,
,2144,,,2112,
,2112,,,2176,
,2145,,,2303,
,2240,,,2176,
,2144,,,2144,
,4224,,,2143,
,4640,,,2112,
,1888,,,2175,
,1440,,,2144,
,1377,,,2176,
,1376,,,2240,
,3295,,,2144,
,1376,,,2496,
,1856,,,2176,
,1952,,,2112,
,1344,,,2176,
,2624,,,2144,
,1408,,,2176,
,3136,,,2175,
,1312,,,2112,
,2048,,,2305,
,1312,,,2112,
,2528,,,2112,
,2176,,,2144,
,2113,,,2144,
,2176,,,2112,
,2144,,,2112,
,2112,,,2176,
,2112,,,2304,
,2208,,,2144,
,2272,,,2176,
,2144,,,2176,
,2144,,,2144,
,2144,,,2112,
,2176,,,2112,
,2145,,,2144,
,2112,,,2272,
,2144,,,2176,
,2303,,,2528,
,2208,,,2144,
,2112,,,2144,
,2112,,,2144,
,2144,,,2176,
,2145,,,2112,
,2112,,,2143,
,2144,,,2145,
,2271,,,2272,
,2144,,,2144,
,4224,,,2144,
,4768,,,2144,
,1952,,,2144,
,1407,,,2144,
,1344,,,2176,
,1344,,,2144,
